Type,Name,Display on form,Managed,AD group,HRApproval,ComplianceApproval,InfoSecApproval,Description
url,not resolved,No,No,,No,No,No,"Indicates that the website was not found in the local URL filtering database and the firewall was unable to connect to the cloud database to check the category. When a URL category lookup is performed, the firewall first checks the dataplane cache for the URL, if no match is found, it will then check the management plane cache, and if no match is found there, it queries the URL database in the cloud. When deciding on what action to take for traffic that is categorized as not-resolved, be aware that setting the action to block may be very disruptive to users."
url,nudity,No,No,,No,No,No,"Sites that contain nude or seminude depictions of the human body, regardless of context or intent, such as artwork. Includes nudist or naturist sites containing images of participants."
url,online storage and backup,No,Yes,UG-file-sharing,No,Yes,No,Websites that provide online storage of files for free and as a service.
url,parked,No,No,,No,No,No,"Domains registered by individuals, oftentimes later found to be used for credential phishing. These domains may be similar to legitimate domains, for example, pal0alto0netw0rks.com, with the intent of phishing for credentials or personal identify information. Or, they may be domains that an individual purchases rights to in hopes that it may be valuable someday, such as panw.net."
url,peer to peer,No,No,,No,No,No,"Sites that provide access to or clients for peer-to-peer sharing of torrents, download programs, media files, or other software applications. This is primarily for those sites that provide bittorrent download capabilities. Does not include shareware or freeware sites."
url,personal sites and blogs,No,No,,No,No,No,"Personal websites and blogs by individuals or groups. Should try to first categorize based on content. For example, if someone has a blog just about cars, then the site should be categorized under `motor vehicles`. However, if the site is a pure blog, then it should remain under `personal sites and blogs`."
url,philosophy and political advocacy,No,No,,No,No,No,"Sites containing information, viewpoints or campaigns regarding philosophical or political views."
url,phishing,No,No,,No,No,No,"Web content that covertly attempts to fool the user in order to harvest information, including login credentials, credit card information - voluntarily or involuntarily, account numbers, PINs, and any information considered to be personally identifiable information (PII) from victims via social engineering techniques. Technical support scams and scareware is also included as phishing."
url,private ip addresses,No,No,,No,No,No,"This category includes IP addresses defined in RFC 1918, 'Address Allocation for Private Intranets? It also includes domains not registered with the public DNS system ( *.local and *.onion)."
url,proxy avoidance and anonymizers,No,No,,No,No,No,URLs and services often used to bypass content filtering products.
url,questionable,No,No,,No,No,No,"Websites containing tasteless humor, offensive content targeting specific demographics of individuals or groups of people."
url,real estate,No,No,,No,No,No,"Information on property rentals, sales and related tips or information. Includes sites for real estate agents, firms, rental services, listings (and aggregates), and property improvement."
